timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,Hostname,IdleTime,Connect
1482527055112,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,1
1482527055115,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055117,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055120,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055121,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055123,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055124,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055125,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055126,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055126,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055127,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055128,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055129,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055130,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055132,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055133,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055136,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055137,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055139,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055140,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055142,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055143,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055144,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055145,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055146,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055147,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
