timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,Hostname,IdleTime,Connect
1482520732627,2,Home Page,200,OK,grupo1 1-1,text,true,,11632,183,1,1,http://192.168.56.103/,,2,UTF-8,alvarogl-SATELLITE-S50-B,0,1
1482520732629,1,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,1,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732630,0,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,0,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732630,1,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,1,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732631,1,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,1,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732632,0,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,0,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732632,1,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,1,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732633,1,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,0,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732634,0,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,0,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732634,1,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,1,UTF-8,alvarogl-SATELLITE-S50-B,0,0
1482520732635,0,Home Page,200,OK,grupo1 1-1,text,true,,11631,183,1,1,http://192.168.56.103/,,0,UTF-8,alvarogl-SATELLITE-S50-B,0,0
