timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,Hostname,IdleTime,Connect
1482527016816,172,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,172,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,157
1482527016999,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017001,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017003,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017004,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017005,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017006,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017008,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017010,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017011,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017013,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017014,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,2,2,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
